num_samples,lambda,error,num_frac,dist_to_vertex,min_error,error_ratio,converged
10,0.004982128296440718,2.0489219423325267e-06,0.1,0.011133372783660889,0.004982128296440718,0.0004112543516384949,True
10,0.11553966959683619,0.00015610072296112776,0.1,0.11900532245635986,0.004982128296440718,0.031332136322673114,True
10,0.22609721089723164,0.0010552757885307074,0.1,0.2622131407260895,0.004982128296440718,0.21181224684330327,True
10,0.33665475219762714,0.0009996789740398526,0.1,0.04652036726474762,0.004982128296440718,0.2006529969840466,True
10,0.4472122934980226,0.002328806323930621,0.1,0.29077160358428955,0.004982128296440718,0.46743202610706425,True
10,0.557769834798418,0.05141086503863335,0.0,0.0,0.004982128296440718,10.319056832671647,True
10,0.6683273760988135,0.0049999128095805645,0.0,0.0,0.004982128296440718,1.003569661815524,True
10,0.7788849173992091,0.0002641210739966482,0.0,0.0,0.004982128296440718,0.05301370383924856,True
10,0.8894424586996045,0.002404040889814496,0.0,0.0,0.004982128296440718,0.48253291500581524,True
10,1.0,0.0019120645010843873,0.0,0.0,0.004982128296440718,0.3837846774139448,True
100,6.161119438269389e-10,2.9672619916709664e-10,1.0,2.7849197387695312,6.161119438269389e-10,0.48161085357962924,True
100,0.11111111165876617,4.621806147042662e-05,0.0,0.0,6.161119438269389e-10,75015.68819352236,True
100,0.2222222227014204,1.4148395166557748e-06,0.01,0.27523019909858704,6.161119438269389e-10,2296.400079290124,True
100,0.3333333337440746,2.6752197300083935e-05,0.0,0.0,6.161119438269389e-10,43421.00095303204,True
100,0.44444444478672884,3.312491116957972e-07,0.01,0.48088639974594116,6.161119438269389e-10,537.644359949046,True
100,0.5555555558293831,3.554987779352814e-05,0.0,0.0,6.161119438269389e-10,57700.35486199538,True
100,0.6666666668720372,5.045686975790886e-06,0.0,0.0,6.161119438269389e-10,8189.562020904728,True
100,0.7777777779146915,0.0001819726312533021,0.0,0.0,6.161119438269389e-10,295356.44143333926,True
100,0.8888888889573457,0.0015970037784427404,0.0,0.0,6.161119438269389e-10,2592067.5527292266,True
100,1.0,0.0004446234670467675,0.0,0.0,6.161119438269389e-10,721660.197471612,True
1000,1.8911856464889794e-21,1.4784973245696165e-10,1.0,9.012815475463867,1.8911856464889794e-21,78178328357.89938,True
1000,0.1111111111111111,1.4917986845830455e-09,0.001,0.45332854986190796,1.8911856464889794e-21,788816627998.7356,True
1000,0.2222222222222222,9.784707799553871e-08,0.001,0.17597311735153198,1.8911856464889794e-21,51738483832718.164,True
1000,0.3333333333333333,6.453377920934145e-08,0.001,0.285362184047699,1.8911856464889794e-21,34123450190704.22,True
1000,0.4444444444444444,3.056112473132089e-05,0.0,0.0,1.8911856464889794e-21,1.615976981850416e+16,True
1000,0.5555555555555556,7.366907084360719e-11,0.0,0.0,1.8911856464889794e-21,38953907555.49312,True
1000,0.6666666666666666,1.4035185813554563e-06,0.0,0.0,1.8911856464889794e-21,742136862111403.0,True
1000,0.7777777777777777,1.255671122635249e-08,0.001,0.4999698996543884,1.8911856464889794e-21,6639597360346.011,True
1000,0.8888888888888888,1.074630745279137e-06,0.0,0.0,1.8911856464889794e-21,568231229585635.1,True
1000,1.0,3.022726104973117e-07,0.0,0.0,1.8911856464889794e-21,159832331140248.6,True
5000,3.127215887485174e-32,1.7826096154749393e-10,1.0,20.399696350097656,3.127215887485174e-32,5.700308771801705e+21,True
5000,0.1111111111111111,3.637978807091713e-10,0.0002,0.09557342529296875,3.127215887485174e-32,1.1633283207758583e+22,True
5000,0.2222222222222222,5.022684490540996e-10,0.0,0.0,3.127215887485174e-32,1.6061201628711694e+22,True
5000,0.3333333333333333,6.805066732340492e-09,0.0002,0.1685660481452942,3.127215887485174e-32,2.1760783320312914e+23,True
5000,0.4444444444444444,8.381903171539307e-09,0.001,0.804023265838623,3.127215887485174e-32,2.6803084510675775e+23,True
5000,0.5555555555555556,1.2789769243681803e-09,0.0,0.0,3.127215887485174e-32,4.089826127727627e+22,True
5000,0.6666666666666666,6.007121555740014e-08,0.0002,0.15727457404136658,3.127215887485174e-32,1.9209168064731168e+24,True
5000,0.7777777777777777,4.20550350099802e-09,0.0002,0.2720229923725128,3.127215887485174e-32,1.3448075388168922e+23,True
5000,0.8888888888888888,2.0463630789890885e-10,0.0,0.0,3.127215887485174e-32,6.543721804364203e+21,True
5000,1.0,1.3096723705530167e-10,0.0002,0.49978768825531006,3.127215887485174e-32,4.18798195479309e+21,True
10000,1.4409154966293533e-37,2.5067947717616335e-09,1.0,28.71916389465332,1.4409154966293533e-37,1.7397236532091072e+28,True
10000,0.1111111111111111,5.820766091346741e-11,0.0004,0.7478656768798828,1.4409154966293533e-37,4.0396304328483575e+26,True
10000,0.2222222222222222,4.143885234952904e-11,0.0002,0.462249219417572,1.4409154966293533e-37,2.875869712447708e+26,True
10000,0.3333333333333333,3.529657988110557e-08,0.0001,0.14116108417510986,1.4409154966293533e-37,2.449594022943936e+29,True
10000,0.4444444444444444,1.3133103493601084e-09,0.0001,0.24742120504379272,1.4409154966293533e-37,9.114416164114107e+27,True
10000,0.5555555555555556,7.866219675634056e-09,0.0006,0.4464508295059204,1.4409154966293533e-37,5.459181814641476e+28,True
10000,0.6666666666666666,7.284052117029205e-08,0.0001,0.004520819988101721,1.4409154966293533e-37,5.055155652131127e+29,True
10000,0.7777777777777777,3.784953150898218e-08,0.0,0.0,1.4409154966293533e-37,2.6267696889596445e+29,True
10000,0.8888888888888888,9.094947017729282e-13,0.0,0.0,1.4409154966293533e-37,6.311922551325559e+24,True
10000,1.0,3.0595401767641306e-09,0.0014,0.9910039901733398,1.4409154966293533e-37,2.123330746265918e+28,True
100000,2.7250387050289837e-58,3.784953150898218e-08,1.0,91.23298645019531,2.7250387050289837e-58,1.3889539050998401e+50,True
100000,0.1111111111111111,0.0,1e-05,0.14045238494873047,2.7250387050289837e-58,0.0,False
100000,0.2222222222222222,1.4551915228366852e-11,2e-05,0.4740390479564667,2.7250387050289837e-58,5.340076528642215e+46,True
100000,0.3333333333333333,0.0,1e-05,0.013797561638057232,2.7250387050289837e-58,0.0,False
100000,0.4444444444444444,1.4551915228366852e-11,4e-05,0.7487100958824158,2.7250387050289837e-58,5.340076528642215e+46,True
100000,0.5555555555555556,0.0,1e-05,0.3026648759841919,2.7250387050289837e-58,0.0,True
100000,0.6666666666666666,2.3283064365386963e-10,5e-05,0.42141735553741455,2.7250387050289837e-58,8.544122445827544e+47,True
100000,0.7777777777777777,1.7826096154749393e-10,2e-05,0.32214194536209106,2.7250387050289837e-58,6.5415937475867134e+47,True
100000,0.8888888888888888,9.094947017729282e-11,2e-05,0.5252124667167664,2.7250387050289837e-58,3.337547830401384e+47,True
100000,1.0,0.0,0.0,0.0,2.7250387050289837e-58,0.0,True
